rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude,content_type,created_month_num,created_full_date,channel_age_days,created_weekday
814,Airrack,13800000,2224911030.0,Entertainment,Airrack,173,United States,US,Entertainment,4285.0,161.0,157.0,99654000.0,24900.0,398600.0,299000.0,4800000.0,2015.0,1.0,3,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Entertainment,1,2015-01-03,4033,5
815,Hacksmith Industries,13800000,1820559912.0,Science & Technology,Hacksmith Industries,887,Canada,CA,Tech,5524.0,10.0,14.0,83943000.0,21000.0,335800.0,251800.0,4000000.0,2006.0,4.0,20,68.9,36991981.0,5.56,30628482.0,56.130366,-106.346771,Science & Technology,4,2006-04-20,7213,3
816,JD Pantoja,13800000,1493776391.0,People & Blogs,JD Pantoja,16,Unknown,Unknown,Music,7134.0,,138.0,13533000.0,3400.0,54100.0,40600.0,649600.0,2017.0,6.0,5,,,,,,,People & Blogs,6,2017-06-05,3149,0
817,ýýýýýýýý/Atro,13800000,2480957682.0,Gaming,ýýýýýýýý/Atro,1952,Netherlands,NL,Games,3690.0,4.0,58.0,55122000.0,13800.0,220500.0,165400.0,2600000.0,2017.0,7.0,2,85.0,17332850.0,3.2,15924729.0,52.132633,5.291266,Gaming,7,2017-07-02,3122,6
818,123 GO! Spanish,13800000,5019136690.0,People & Blogs,123 GO! Spanish,520,Mexico,MX,Howto,1361.0,30.0,28.0,26519000.0,6600.0,106100.0,79600.0,1300000.0,2019.0,3.0,13,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784,People & Blogs,3,2019-03-13,2503,2
819,Geo News,13800000,5727888539.0,News & Politics,Geo News,190093,Pakistan,PK,News,1127.0,6.0,21.0,100053000.0,25000.0,400200.0,300200.0,4800000.0,2007.0,1.0,10,9.0,216565318.0,4.45,79927762.0,30.375321,69.345116,News & Politics,1,2007-01-10,6948,2
820,Kids TV India Hindi Nursery Rhymes,13800000,6646953396.0,Shows,Kids TV India Hindi Nursery Rhymes,1505,India,IN,Education,898.0,112.0,38.0,78651000.0,19700.0,314600.0,236000.0,3800000.0,2014.0,11.0,17,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Shows,11,2014-11-17,4080,0
821,Think Music India,13800000,11039343563.0,Music,Think Music India,4978,India,IN,Music,374.0,112.0,137.0,217106000.0,54300.0,868400.0,651300.0,10400000.0,2009.0,8.0,15,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Music,8,2009-08-15,6000,5
822,O Que Nï¿½ï¿½ï¿½ï¿½ï¿½ï¿,13700000,1967930734.0,Comedy,O Que Nï¿½ï¿½ï¿½ï¿½ï¿½ï¿,696,Brazil,BR,Entertainment,5035.0,47.0,159.0,87804000.0,22000.0,351200.0,263400.0,4200000.0,2015.0,2.0,6,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528,Comedy,2,2015-02-06,3999,4
823,Goldmines Premiere,13700000,1973638757.0,Entertainment,Goldmines Premiere,975,India,IN,Film,5047.0,113.0,41.0,37648000.0,9400.0,150600.0,112900.0,1800000.0,2013.0,10.0,12,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Entertainment,10,2013-10-12,4481,5
824,MAIKI021,13700000,1950178163.0,Entertainment,MAIKI021,3298,Brazil,BR,Entertainment,5135.0,47.0,159.0,7438000.0,1900.0,29800.0,22300.0,357000.0,2008.0,1.0,22,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528,Entertainment,1,2008-01-22,6571,1
825,The Vishal bhatt,13700000,9596430464.0,Comedy,The Vishal bhatt,1040,India,IN,Comedy,487.0,113.0,36.0,379240000.0,94800.0,1500000.0,1100000.0,18200000.0,2021.0,8.0,15,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Comedy,8,2021-08-15,1617,6
826,NishaMadhulika,13700000,2939201386.0,Howto & Style,NishaMadhulika,2158,India,IN,Howto,2972.0,113.0,29.0,22235000.0,5600.0,88900.0,66700.0,1100000.0,2009.0,8.0,2,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Howto & Style,8,2009-08-02,6013,6
827,MyMissAnand,13700000,4963275018.0,People & Blogs,MyMissAnand,340,India,IN,Entertainment,1387.0,113.0,159.0,27882000.0,7000.0,111500.0,83600.0,1300000.0,2014.0,7.0,22,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,People & Blogs,7,2014-07-22,4198,1
828,FAPTV,13700000,5457203710.0,Comedy,FAPTV,863,Vietnam,VN,Comedy,1205.0,3.0,36.0,35124000.0,8800.0,140500.0,105400.0,1700000.0,2014.0,2.0,26,28.5,96462106.0,2.01,35332140.0,14.058324,108.277199,Comedy,2,2014-02-26,4344,2
829,Wesley Safadï¿½,13700000,8134379376.0,Music,Wesley Safadï¿½,438,Brazil,BR,Music,631.0,47.0,139.0,64059000.0,16000.0,256200.0,192200.0,3100000.0,2009.0,6.0,21,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528,Music,6,2009-06-21,6055,6
830,infobells,13700000,5178142148.0,Education,infobells,495,India,IN,Education,1289.0,113.0,39.0,23893000.0,6000.0,95600.0,71700.0,1100000.0,2011.0,10.0,20,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Education,10,2011-10-20,5204,3
831,Desi Gamers,13700000,2135195239.0,Gaming,Desi gamers,1,Unknown,Unknown,Tech,4057849.0,,4183.0,5.0,0.0,0.02,0.02,0.24,2020.0,4.0,14,,,,,,,Gaming,4,2020-04-14,2105,1
832,Acenix,13600000,2122062016.0,Gaming,Acenix,368,Spain,ES,Games,4572.0,16.0,60.0,47436000.0,11900.0,189700.0,142300.0,2300000.0,2014.0,1.0,2,88.9,47076781.0,13.96,37927409.0,40.463667,-3.74922,Gaming,1,2014-01-02,4399,3
833,Zeinab Harake,13600000,896891351.0,,Zeinab Harake,273,Philippines,PH,People,13437.0,9.0,51.0,12088000.0,3000.0,48400.0,36300.0,580200.0,2017.0,10.0,19,35.5,108116615.0,2.15,50975903.0,12.879721,121.774017,People,10,2017-10-19,3013,3
834,DALLMYD,13600000,1948925559.0,Sports,DALLMYD,412,United States,US,Sports,5133.0,164.0,11.0,30677000.0,7700.0,122700.0,92000.0,1500000.0,2011.0,2.0,1,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Sports,2,2011-02-01,5465,1
835,Lindsey Stirling,13600000,3764608356.0,Music,Lindsey Stirling,199,United States,US,Music,2084.0,163.0,139.0,15277000.0,3800.0,61100.0,45800.0,733300.0,2007.0,5.0,20,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Music,5,2007-05-20,6818,6
836,JOJO TV - Hindi Stories,13600000,5141201173.0,Education,JOJO TV - Hindi Stories,1097,India,IN,Film,1303.0,114.0,42.0,10764000.0,2700.0,43100.0,32300.0,516700.0,2016.0,12.0,25,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Education,12,2016-12-25,3311,6
837,BBC,13600000,9685060624.0,Pets & Animals,BBC,16047,United Kingdom,GB,Entertainment,474.0,29.0,160.0,44414000.0,11100.0,177700.0,133200.0,2100000.0,2005.0,11.0,12,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973,Pets & Animals,11,2005-11-12,7372,5
